Question	Answer	Non-answer	Hint	Category
Capability Increment	A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Communications and Stakeholder Management	The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Concern	An interest in a system relevant to one or more of its stakeholders.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Course of Action	Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Data Architecture	A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Deliverable	An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Enterprise	The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Enterprise Continuum	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.	Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.|An ability that an organization, person, or system possesses.|A highly detailed description of the architectural approach to realize a particular solution or solution aspect.|A discrete portion of a capability architecture that delivers specific value. When all increments have been completed, the capability has been realized.|The management of needs of stakeholders of the Enterprise Architecture practice. It also manages the execution of communication between the practice and the stakeholders and the practice and the consumers of its services.|An interest in a system relevant to one or more of its stakeholders.|Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.|A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.|An architectural work product that is contractually specified and in turn formally reviewed, agreed, and signed off by the stakeholders.|The highest level (typically) of description of an organization and typically covers all missions and functions. An enterprise will often span multiple organizations.|A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.		definition
Foundation Architecture	Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Framework	A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Gap	A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Governance	The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Information	Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Information System Service	A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Information Technology (IT)	The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Interoperability	The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Logical	An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Metadata	Data about data, of any sort in any media, that describes the characteristics of an entity.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Metamodel	A model that describes how and with what the architecture will be described in a structured way.	A categorization mechanism useful for classifying architecture and solution artifacts, both internal and external to the Architecture Repository, as they evolve from generic Foundation Architectures to Organization-Specific Architectures.|Generic building blocks, their interrelationships with other building blocks, combined with the principles and guidelines that provide a foundation on which more specific architectures can be built.|A structure for content or process that can be used as a tool to structure thinking, ensuring consistency and completeness.|A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.|The discipline of monitoring, managing, and steering a business (or IS/IT landscape) to deliver the business outcome required.|Any communication or representation of facts, data, or opinions, in any medium or form, including textual, numerical, graphic, cartographic, narrative, or audio-visual forms.|A discrete behavior requestable from an application (e.g., log in, book train seat, transfer money).|The lifecycle management of information and related technology used by an organization.|An umbrella term that includes all or some of the subject areas relating to the computer industry, such as Business Continuity, Business IT Interface, Business Process Modeling and Management, Communication, Compliance and Legislation, Computers, Content Management, Hardware, Information Management, Internet, Offshoring, Networking, Programming and Software, Professional Issues, Project Management, Security, Standards, Storage, Voice and Data Communications. Various countries and industries employ other umbrella terms to describe this same collection.|Alternate names commonly adopted include Information Services, Information Management, et al.|The ability to share information and services.|The ability of two or more systems or components to exchange and use information.|The ability of systems to provide and receive services from other systems and to use the services so interchanged to enable them to operate effectively together.|An implementation-independent definition of the architecture, often grouping related physical entities according to their purpose and structure.|Data about data, of any sort in any media, that describes the characteristics of an entity.|A model that describes how and with what the architecture will be described in a structured way.		definition
Method	A defined, repeatable approach to address a particular type of problem.	A model that describes how and with what the architecture will be described in a structured way.|A defined, repeatable approach to address a particular type of problem.|A technique through construction of models which enables a subject to be represented in a form that enables reasoning, insight, and clarity concerning the essence of the subject matter.|Conventions for a type of modeling.|A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, "Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share".|An articulation of the relationships between the primary entities that make up the enterprise, its partners, and stakeholders.|A technique for putting building blocks into context; for example, to describe a re-usable solution to a problem.|A description of a real-world entity. Physical elements in an Enterprise Architecture may still be considerably abstracted from Solution Architecture, design, or implementation views.|See 3.16 Architecture Principle .|An abstract framework for understanding significant relationships among the entities of [an] environment, and for the development of consistent standards or specifications supporting that environment.|A system that manages all of the data of an enterprise, including data and process models and other enterprise information.|A statement of need that must be met by a particular architecture or work package.		definition
